type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
PV1,2024-06-03T10:30:00+02:00,2024-06-03T15:30:00+02:00,2024-06-03 10:30:00,2024-06-03 15:30:00,11,5.5,1
PV1,2024-06-04T10:00:00+02:00,2024-06-04T15:30:00+02:00,2024-06-04 10:00:00,2024-06-04 15:30:00,12,6.0,1
PV1,2024-06-05T10:30:00+02:00,2024-06-05T15:30:00+02:00,2024-06-05 10:30:00,2024-06-05 15:30:00,11,5.5,1
PV1,2024-06-06T10:30:00+02:00,2024-06-06T15:30:00+02:00,2024-06-06 10:30:00,2024-06-06 15:30:00,11,5.5,1
PV1,2024-06-07T10:30:00+02:00,2024-06-07T15:30:00+02:00,2024-06-07 10:30:00,2024-06-07 15:30:00,11,5.5,1
PV1,2024-06-10T10:30:00+02:00,2024-06-10T15:30:00+02:00,2024-06-10 10:30:00,2024-06-10 15:30:00,11,5.5,1
PV1,2024-06-11T11:00:00+02:00,2024-06-11T15:30:00+02:00,2024-06-11 11:00:00,2024-06-11 15:30:00,10,5.0,1
PV1,2024-06-12T10:00:00+02:00,2024-06-12T15:30:00+02:00,2024-06-12 10:00:00,2024-06-12 15:30:00,12,6.0,1
PV1,2024-06-13T10:00:00+02:00,2024-06-13T15:30:00+02:00,2024-06-13 10:00:00,2024-06-13 15:30:00,12,6.0,1
PV1,2024-06-14T13:30:00+02:00,2024-06-14T15:00:00+02:00,2024-06-14 13:30:00,2024-06-14 15:00:00,4,2.0,1
PV1,2024-06-17T11:30:00+02:00,2024-06-17T15:30:00+02:00,2024-06-17 11:30:00,2024-06-17 15:30:00,9,4.5,1
PV1,2024-06-18T11:30:00+02:00,2024-06-18T15:30:00+02:00,2024-06-18 11:30:00,2024-06-18 15:30:00,9,4.5,1
PV1,2024-06-19T12:30:00+02:00,2024-06-19T15:00:00+02:00,2024-06-19 12:30:00,2024-06-19 15:00:00,6,3.0,1
PV1,2024-06-21T12:30:00+02:00,2024-06-21T15:30:00+02:00,2024-06-21 12:30:00,2024-06-21 15:30:00,7,3.5,1
PV1,2024-06-23T13:30:00+02:00,2024-06-23T14:00:00+02:00,2024-06-23 13:30:00,2024-06-23 14:00:00,2,1.0,1
PV1,2024-06-24T10:00:00+02:00,2024-06-24T15:30:00+02:00,2024-06-24 10:00:00,2024-06-24 15:30:00,12,6.0,1
PV1,2024-06-25T10:00:00+02:00,2024-06-25T15:30:00+02:00,2024-06-25 10:00:00,2024-06-25 15:30:00,12,6.0,1
PV1,2024-06-26T11:00:00+02:00,2024-06-26T15:30:00+02:00,2024-06-26 11:00:00,2024-06-26 15:30:00,10,5.0,1
PV1,2024-06-27T11:00:00+02:00,2024-06-27T15:30:00+02:00,2024-06-27 11:00:00,2024-06-27 15:30:00,10,5.0,1
PV1,2024-06-28T11:00:00+02:00,2024-06-28T15:30:00+02:00,2024-06-28 11:00:00,2024-06-28 15:30:00,10,5.0,1
PV1,2024-06-30T15:30:00+02:00,2024-06-30T15:30:00+02:00,2024-06-30 15:30:00,2024-06-30 15:30:00,1,0.5,1
PV1,2024-07-01T11:30:00+02:00,2024-07-01T15:30:00+02:00,2024-07-01 11:30:00,2024-07-01 15:30:00,9,4.5,1
PV1,2024-07-02T13:30:00+02:00,2024-07-02T13:30:00+02:00,2024-07-02 13:30:00,2024-07-02 13:30:00,1,0.5,1
PV1,2024-07-02T14:30:00+02:00,2024-07-02T15:00:00+02:00,2024-07-02 14:30:00,2024-07-02 15:00:00,2,1.0,1
PV1,2024-07-03T11:30:00+02:00,2024-07-03T15:30:00+02:00,2024-07-03 11:30:00,2024-07-03 15:30:00,9,4.5,1
PV1,2024-07-04T11:30:00+02:00,2024-07-04T12:00:00+02:00,2024-07-04 11:30:00,2024-07-04 12:00:00,2,1.0,1
PV1,2024-07-04T13:00:00+02:00,2024-07-04T15:30:00+02:00,2024-07-04 13:00:00,2024-07-04 15:30:00,6,3.0,1
PV1,2024-07-05T10:30:00+02:00,2024-07-05T15:30:00+02:00,2024-07-05 10:30:00,2024-07-05 15:30:00,11,5.5,1
PV1,2024-07-07T11:30:00+02:00,2024-07-07T15:30:00+02:00,2024-07-07 11:30:00,2024-07-07 15:30:00,9,4.5,1
PV1,2024-07-08T10:30:00+02:00,2024-07-08T15:30:00+02:00,2024-07-08 10:30:00,2024-07-08 15:30:00,11,5.5,1
PV1,2024-07-09T11:00:00+02:00,2024-07-09T15:30:00+02:00,2024-07-09 11:00:00,2024-07-09 15:30:00,10,5.0,1
PV1,2024-07-10T11:30:00+02:00,2024-07-10T15:30:00+02:00,2024-07-10 11:30:00,2024-07-10 15:30:00,9,4.5,1
