hour_index,price_eur_mwh,h2_elec_cost_eur_per_kg,h2_total_cost_eur_per_kg_fixed2024,h2_total_cost_eur_per_kg_fixed2023,h2_total_cost_eur_per_kg_fixed2022
0,89.06,4.63112,8.748069000000001,8.366096246734354,7.18825
1,78.48,4.08096,8.197909,7.815936246734355,6.63809
2,85.16,4.428319999999999,8.545269,8.163296246734355,6.985449999999999
3,50.0,2.6,6.716949,6.334976246734355,5.15713
4,37.67,1.95884,6.075789,5.693816246734356,4.515969999999999
5,39.7,2.0644,6.181349,5.799376246734355,4.62153
6,40.59,2.11068,6.227629,5.845656246734356,4.667809999999999
7,43.26,2.24952,6.366469,5.984496246734356,4.806649999999999
8,49.66,2.5823199999999997,6.699268999999999,6.3172962467343545,5.13945
9,70.05,3.6426,7.759549,7.377576246734355,6.19973
10,76.79,3.99308,8.110029,7.728056246734355,6.55021
11,84.1,4.3732,8.490148999999999,8.108176246734356,6.93033
12,94.74,4.92648,9.043429,8.661456246734355,7.48361
13,96.8,5.0336,9.150549,8.768576246734355,7.59073
14,97.17,5.05284,9.169789,8.787816246734355,7.60997
15,98.52,5.12304,9.239989,8.858016246734355,7.6801699999999995
16,114.5,5.954,10.070948999999999,9.688976246734356,8.51113
17,149.97,7.798439999999999,11.915389,11.533416246734355,10.35557
18,146.33,7.60916,11.726109000000001,11.344136246734355,10.16629
19,140.28,7.29456,11.411508999999999,11.029536246734356,9.85169
20,121.88,6.337759999999999,10.454709,10.072736246734355,8.89489
21,102.61,5.335719999999999,9.452669,9.070696246734354,7.892849999999999
22,97.46,5.067919999999999,9.184868999999999,8.802896246734354,7.625049999999999
23,85.16,4.428319999999999,8.545269,8.163296246734355,6.985449999999999
24,57.08,2.9681599999999997,7.085108999999999,6.7031362467343545,5.52529
25,52.59,2.73468,6.851629,6.469656246734355,5.29181
26,48.97,2.54644,6.6633890000000005,6.281416246734356,5.1035699999999995
27,34.94,1.8168799999999998,5.933828999999999,5.551856246734355,4.37401
28,29.56,1.5371199999999998,5.654069,5.272096246734355,4.09425
29,33.97,1.7664399999999998,5.883388999999999,5.501416246734355,4.32357
30,34.52,1.7950400000000002,5.911989,5.530016246734355,4.35217
31,41.8,2.1735999999999995,6.2905489999999995,5.908576246734355,4.730729999999999
32,48.95,2.5454,6.662349,6.280376246734355,5.10253
33,60.01,3.12052,7.237469,6.855496246734355,5.67765
34,70.09,3.64468,7.761629,7.379656246734355,6.20181
35,66.26,3.44552,7.562469,7.180496246734355,6.00265
36,64.54,3.35608,7.473029,7.091056246734356,5.913209999999999
37,46.96,2.44192,6.558869,6.176896246734355,4.99905
38,40.01,2.08052,6.197469,5.815496246734355,4.63765
39,39.3,2.0435999999999996,6.160549,5.778576246734355,4.6007299999999995
40,40.79,2.12108,6.238029,5.856056246734355,4.67821
41,47.91,2.4913199999999995,6.608269,6.226296246734355,5.048449999999999
42,65.09,3.38468,7.501628999999999,7.119656246734355,5.94181
43,67.85,3.5281999999999996,7.645149,7.263176246734355,6.085329999999999
44,62.22,3.2354399999999996,7.352389,6.970416246734355,5.7925699999999996
45,46.16,2.40032,6.517269,6.135296246734355,4.95745
46,46.29,2.4070799999999997,6.524029,6.142056246734355,4.96421
47,32.93,1.7123599999999999,5.829309,5.447336246734356,4.269489999999999
48,2.71,0.14092,4.257869,3.875896246734355,2.69805
49,1.71,0.08892,4.205869,3.823896246734355,2.64605
50,1.24,0.06448,4.181429,3.7994562467343553,2.62161
51,0.06,0.00312,4.120069,3.7380962467343553,2.56025
52,0.09,0.004679999999999999,4.1216289999999995,3.7396562467343553,2.56181
53,1.44,0.07487999999999999,4.191829,3.809856246734355,2.6320099999999997
54,41.11,2.13772,6.254669,5.872696246734355,4.69485
55,90.54,4.70808,8.825029,8.443056246734354,7.26521
56,161.79,8.413079999999999,12.530028999999999,12.148056246734354,10.970209999999998
57,180.36,9.37872,13.495669,13.113696246734355,11.935849999999999
58,125.03,6.50156,10.618509,10.236536246734355,9.058689999999999
59,100.74,5.238479999999999,9.355428999999999,8.973456246734354,7.795609999999999
60,96.39,5.01228,9.129228999999999,8.747256246734356,7.5694099999999995
61,95.22,4.95144,9.068389,8.686416246734355,7.50857
62,102.67,5.33884,9.455789,9.073816246734356,7.89597
63,112.87,5.86924,9.986189,9.604216246734355,8.426369999999999
64,126.8,6.5935999999999995,10.710549,10.328576246734354,9.15073
65,148.49,7.72148,11.838429,11.456456246734355,10.27861
66,175.06,9.10312,13.220069,12.838096246734356,11.660250000000001
67,180.0,9.36,13.476949,13.094976246734355,11.91713
68,146.43,7.61436,11.731309,11.349336246734355,10.171489999999999
69,105.71,5.496919999999999,9.613869,9.231896246734355,8.05405
70,114.11,5.93372,10.050669,9.668696246734356,8.49085
71,100.36,5.218719999999999,9.335669,8.953696246734355,7.775849999999999
72,125.47,6.524439999999999,10.641389,10.259416246734354,9.08157
73,115.55,6.0085999999999995,10.125549,9.743576246734355,8.565729999999999
74,113.29,5.89108,10.008029,9.626056246734354,8.44821
75,105.81,5.50212,9.619069,9.237096246734355,8.059249999999999
76,105.0,5.46,9.576948999999999,9.194976246734356,8.01713
77,115.11,5.98572,10.102668999999999,9.720696246734356,8.54285
78,156.91,8.15932,12.276269,11.894296246734354,10.716449999999998
79,182.64,9.497279999999998,13.614228999999998,13.232256246734353,12.054409999999997
80,178.91,9.30332,13.420269,13.038296246734355,11.86045
81,190.0,9.879999999999999,13.996948999999999,13.614976246734354,12.43713
82,189.88,9.873759999999999,13.990708999999999,13.608736246734354,12.430889999999998
83,182.42,9.48584,13.602789,13.220816246734355,12.04297
84,182.46,9.48792,13.604869,13.222896246734356,12.04505
85,179.59,9.33868,13.455629,13.073656246734355,11.89581
86,179.0,9.308,13.424949,13.042976246734355,11.86513
87,180.93,9.40836,13.525309,13.143336246734355,11.965489999999999
88,166.69,8.66788,12.784829,12.402856246734355,11.225010000000001
89,189.88,9.873759999999999,13.990708999999999,13.608736246734354,12.430889999999998
90,184.94,9.61688,13.733829,13.351856246734355,12.174009999999999
91,178.99,9.30748,13.424429,13.042456246734355,11.864609999999999
92,156.12,8.11824,12.235189,11.853216246734355,10.675370000000001
93,148.65,7.7298,11.846748999999999,11.464776246734356,10.28693
94,137.92,7.171839999999999,11.288788999999998,10.906816246734355,9.728969999999999
95,105.0,5.46,9.576948999999999,9.194976246734356,8.01713
96,120.11,6.2457199999999995,10.362669,9.980696246734354,8.80285
97,105.1,5.465199999999999,9.582149,9.200176246734355,8.02233
98,84.5,4.394,8.510949,8.128976246734355,6.95113
99,75.38,3.9197599999999997,8.036709,7.654736246734355,6.476889999999999
100,79.11,4.11372,8.230668999999999,7.848696246734355,6.67085
101,94.79,4.92908,9.046029,8.664056246734354,7.48621
102,169.04,8.79008,12.907029,12.525056246734355,11.34721
103,215.98,11.23096,15.347909,14.965936246734355,13.78809
104,211.13,10.97876,15.095709,14.713736246734355,13.535889999999998
105,226.52,11.77904,15.895989,15.514016246734355,14.33617
106,224.45,11.671399999999998,15.788348999999998,15.406376246734354,14.22853
107,202.8,10.5456,14.662549,14.280576246734356,13.102730000000001
108,205.0,10.66,14.776949,14.394976246734355,13.217130000000001
109,197.34,10.26168,14.378629,13.996656246734355,12.81881
110,195.6,10.171199999999999,14.288148999999999,13.906176246734354,12.72833
111,200.0,10.4,14.516949,14.134976246734356,12.95713
112,206.07,10.715639999999999,14.832588999999999,14.450616246734354,13.272769999999998
113,242.1,12.5892,16.706149,16.324176246734353,15.146329999999999
114,265.0,13.78,17.896949,17.514976246734356,16.33713
115,265.0,13.78,17.896949,17.514976246734356,16.33713
116,241.93,12.58036,16.697309,16.315336246734354,15.13749
117,218.95,11.385399999999999,15.502348999999999,15.120376246734354,13.942529999999998
118,207.46,10.78792,14.904869,14.522896246734355,13.34505
119,200.0,10.4,14.516949,14.134976246734356,12.95713
120,207.15,10.771799999999999,14.888748999999999,14.506776246734354,13.32893
121,204.22,10.619439999999999,14.736388999999999,14.354416246734354,13.176569999999998
122,191.82,9.974639999999999,14.091588999999999,13.709616246734354,12.531769999999998
123,180.7,9.3964,13.513349,13.131376246734355,11.95353
124,170.1,8.8452,12.962149,12.580176246734355,11.40233
125,194.38,10.107759999999999,14.224708999999999,13.842736246734354,12.66489
126,204.22,10.619439999999999,14.736388999999999,14.354416246734354,13.176569999999998
127,228.25,11.869,15.985949,15.603976246734355,14.42613
128,240.98,12.530959999999999,16.647909,16.265936246734356,15.088089999999998
129,257.44,13.38688,17.503829,17.121856246734353,15.944009999999999
130,245.24,12.75248,16.869429,16.487456246734354,15.30961
131,231.9,12.0588,16.175749,15.793776246734355,14.615929999999999
132,226.0,11.751999999999999,15.868948999999999,15.486976246734354,14.30913
133,209.2,10.8784,14.995349,14.613376246734354,13.43553
134,216.06,11.23512,15.352069,14.970096246734355,13.79225
135,230.77,12.00004,16.116989,15.735016246734356,14.55717
136,245.95,12.789399999999999,16.906349,16.524376246734356,15.346529999999998
137,274.11,14.25372,18.370669,17.988696246734357,16.81085
138,273.44,14.218879999999999,18.335828999999997,17.953856246734354,16.77601
139,278.36,14.47472,18.591669,18.209696246734353,17.03185
140,251.71,13.08892,17.205869,16.823896246734357,15.646049999999999
141,229.96,11.95792,16.074869,15.692896246734355,14.515049999999999
142,216.44,11.25488,15.371829,14.989856246734355,13.81201
143,210.0,10.92,15.036949,14.654976246734355,13.477129999999999
144,213.47,11.100439999999999,15.217388999999999,14.835416246734354,13.65757
145,189.0,9.828,13.944949,13.562976246734355,12.38513
146,180.0,9.36,13.476949,13.094976246734355,11.91713
147,164.9,8.5748,12.691749,12.309776246734355,11.13193
148,162.8,8.4656,12.582549,12.200576246734355,11.02273
149,165.0,8.58,12.696949,12.314976246734355,11.137129999999999
150,165.2,8.590399999999999,12.707348999999999,12.325376246734354,11.14753
151,215.89,11.22628,15.343229,14.961256246734354,13.78341
152,254.19,13.21788,17.334829,16.952856246734356,15.775009999999998
153,257.24,13.376479999999999,17.493429,17.111456246734356,15.933609999999998
154,254.18,13.21736,17.334308999999998,16.952336246734355,15.77449
155,241.22,12.543439999999999,16.660389,16.278416246734352,15.100569999999998
156,240.2,12.4904,16.607349,16.225376246734356,15.047529999999998
157,212.69,11.05988,15.176829,14.794856246734355,13.61701
158,207.05,10.7666,14.883549,14.501576246734356,13.323730000000001
159,210.11,10.92572,15.042669,14.660696246734355,13.48285
160,220.21,11.45092,15.567869,15.185896246734355,14.00805
161,243.84,12.67968,16.796629,16.414656246734353,15.236809999999998
162,260.0,13.52,17.636949,17.254976246734355,16.07713
163,250.0,13.0,17.116948999999998,16.734976246734355,15.55713
164,239.09,12.43268,16.549629,16.167656246734353,14.989809999999999
165,213.81,11.11812,15.235069,14.853096246734355,13.675249999999998
166,216.13,11.23876,15.355709,14.973736246734354,13.79589
167,205.74,10.69848,14.815429,14.433456246734355,13.25561
168,184.96,9.61792,13.734869,13.352896246734355,12.175049999999999
169,162.79,8.465079999999999,12.582028999999999,12.200056246734354,11.022209999999998
170,166.0,8.632,12.748949,12.366976246734355,11.189129999999999
171,161.63,8.40476,12.521709,12.139736246734355,10.96189
172,160.0,8.32,12.436949,12.054976246734356,10.877130000000001
173,154.3,8.0236,12.140549,11.758576246734355,10.580729999999999
174,166.0,8.632,12.748949,12.366976246734355,11.189129999999999
175,182.91,9.51132,13.628269,13.246296246734355,12.068449999999999
176,215.89,11.22628,15.343229,14.961256246734354,13.78341
177,231.0,12.011999999999999,16.128949,15.746976246734354,14.569129999999998
178,228.95,11.905399999999998,16.022349,15.640376246734354,14.462529999999997
179,215.39,11.20028,15.317229,14.935256246734355,13.75741
180,206.68,10.74736,14.864309,14.482336246734356,13.304490000000001
181,185.0,9.62,13.736949,13.354976246734354,12.177129999999998
182,169.52,8.81504,12.931989,12.550016246734355,11.37217
183,162.8,8.4656,12.582549,12.200576246734355,11.02273
184,161.73,8.40996,12.526909,12.144936246734355,10.967089999999999
185,189.9,9.8748,13.991749,13.609776246734356,12.431930000000001
186,189.16,9.836319999999999,13.953268999999999,13.571296246734354,12.393449999999998
