dt,absorb_need_mw_region,absorb_need_mw,heat_demand_mw_th,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,P_p2h_mw,Q_th_dis_mw_th,Slack_unmet_th_mw_th,SOC_th_mwh_th,P_el_mw,y_el_on,y_el_start,y_el_stop,H2_prod_kg,H2_sale_kg,SOC_h2_kg,P_pb_deficit_mw,P_pb_surplus_mw
2024-01-01 00:00:00+01:00,1011.6684983556764,6.677012089147464,0.0,9.748069,6.677012089147464,0.0,0.0,0.0,3.0,1.677012089147464,0.0,0.0,0.8217359236822573,5.0,1,1,0,50.0,0.0,50.0,0.0,0.0
2024-01-01 00:30:00+01:00,914.0374688844518,6.032647294637382,0.0,9.748069,6.032647294637382,0.0,0.44390371391294536,0.0,3.210854264108649,0.5887435807244366,0.0,0.0,1.1102202782372312,5.0,1,0,0,50.0,0.0,100.0,0.0,0.0
2024-01-01 01:00:00+01:00,987.4504062995652,6.51717268157713,0.0,9.748069,6.51717268157713,0.0,1.5171726815771303,0.0,3.931511287857786,0.0,0.0,0.0,1.1102202782372312,5.0,1,0,0,50.0,0.0,150.0,0.0,0.0
2024-01-01 01:30:00+01:00,943.4715563314712,6.22691227178771,0.0,9.748069,6.22691227178771,0.0,1.2269122717877101,0.0,4.514294616956948,0.0,0.0,0.0,1.1102202782372312,5.0,1,0,0,50.0,0.0,200.0,0.0,0.0
2024-01-01 02:00:00+01:00,923.6282975619844,6.0959467639090965,0.0,9.197909,6.0959467639090965,0.0,1.0959467639090965,0.0,5.034869329813769,0.0,0.0,0.0,1.1102202782372312,5.0,1,0,0,50.0,0.0,250.0,0.0,0.0
2024-01-01 02:30:00+01:00,969.7386507771072,6.400275095128907,0.0,9.197909,6.400275095128907,0.0,1.4002750951289071,0.0,5.7,0.0,0.0,0.0,1.1102202782372312,5.0,1,0,0,50.0,0.0,300.0,0.0,0.0
2024-01-01 03:00:00+01:00,591.5270579259571,3.904078582311317,0.0,9.545269,3.904078582311317,0.0,0.0,0.0,5.7,0.0,0.0,0.0,1.1102202782372312,3.904078582311317,1,0,0,39.04078582311317,0.0,339.0407858231132,0.0,0.0
2024-01-01 03:30:00+01:00,331.899147199368,2.1905343715158287,0.0,9.545269,2.1905343715158287,0.0,0.0,2.211047270448257,4.53629091029039,0.0,0.0,0.0,1.1102202782372312,4.401581641964086,1,0,0,44.015816419640856,0.0,383.056602242754,0.0,0.0
2024-01-01 04:00:00+01:00,258.24154967826126,1.7043942278765243,0.0,7.716949,1.7043942278765243,0.0,0.0,1.1971874140875618,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,2.901581641964086,1,0,0,29.01581641964086,0.0,412.0724186623949,0.0,0.0
2024-01-01 04:30:00+01:00,313.94585135124254,2.072042618918201,0.0,7.716949,2.072042618918201,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,2.072042618918201,1,0,0,20.720426189182007,0.0,432.7928448515769,0.0,0.0
2024-01-01 05:00:00+01:00,308.3647030053141,2.035207039835073,0.0,7.075789,2.035207039835073,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,2.035207039835073,1,0,0,20.352070398350726,0.0,453.14491524992764,0.0,0.0
2024-01-01 05:30:00+01:00,315.4228940143732,2.081791100494863,0.0,7.075789,2.081791100494863,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,2.081791100494863,1,0,0,20.81791100494863,5.684341886080802e-14,473.96282625487623,0.0,0.0
2024-01-01 06:00:00+01:00,305.156390246727,2.0140321756283983,0.0,7.181349,2.0140321756283983,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,2.0140321756283983,1,0,0,20.14032175628398,0.0,494.1031480111602,0.0,0.0
2024-01-01 06:30:00+01:00,259.3130902274914,1.711466395501443,0.0,7.181349,1.711466395501443,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,1.711466395501443,1,0,0,17.114663955014432,0.0,511.2178119661746,0.0,0.0
2024-01-01 07:00:00+01:00,237.020179946197,1.5643331876449003,0.0,7.227629,1.5643331876449003,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,1.5643331876449003,1,0,0,15.643331876449002,0.0,526.8611438426236,0.0,0.0
2024-01-01 07:30:00+01:00,200.8309361524298,1.3254841786060367,0.0,7.227629,1.3254841786060367,0.0,0.0,0.0,3.906192271296937,0.0,0.0,0.0,1.1102202782372312,1.3254841786060367,1,0,0,13.254841786060368,0.0,540.115985628684,0.0,0.0
2024-01-01 08:00:00+01:00,178.14701340363692,1.1757702884640036,0.0,7.366469,1.1757702884640036,0.0,0.0,1.3903421964958762,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,2.5661124849598798,1,0,0,25.6611248495988,0.0,565.7771104782828,0.0,0.0
2024-01-01 08:30:00+01:00,616.0776492363455,4.06611248495988,0.0,7.366469,4.06611248495988,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,4.06611248495988,1,0,0,40.6611248495988,0.0,606.4382353278816,0.0,0.0
2024-01-01 09:00:00+01:00,556.8153420944824,3.6749812578235836,0.0,7.699268999999999,3.6749812578235836,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,3.6749812578235836,1,0,0,36.74981257823583,0.0,643.1880479061174,0.0,0.0
2024-01-01 09:30:00+01:00,613.6001276869611,4.049760842733943,0.0,7.699268999999999,4.049760842733943,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,4.049760842733943,1,0,0,40.49760842733943,0.0,683.6856563334568,0.0,0.0
2024-01-01 10:00:00+01:00,576.2365292501161,3.803161093050766,0.0,8.759549,3.803161093050766,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,3.803161093050766,1,0,0,38.03161093050766,0.0,721.7172672639645,0.0,0.0
2024-01-01 10:30:00+01:00,478.44458844253256,3.157734283720715,0.0,8.759549,3.157734283720715,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,3.157734283720715,1,0,0,31.577342837207148,0.0,753.2946101011717,0.0,0.0
2024-01-01 11:00:00+01:00,324.6579290778627,2.142742331913894,0.0,9.110029,2.142742331913894,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,2.142742331913894,1,0,0,21.42742331913894,0.0,774.7220334203106,0.0,0.0
2024-01-01 11:30:00+01:00,351.59952002993384,2.320556832197563,0.0,9.110029,2.320556832197563,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,2.320556832197563,1,0,0,23.205568321975633,0.0,797.9276017422862,0.0,0.0
2024-01-01 12:00:00+01:00,378.6421225361088,2.499038008738318,0.0,9.490149,2.499038008738318,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,2.499038008738318,1,0,0,24.99038008738318,0.0,822.9179818296694,0.0,0.0
2024-01-01 12:30:00+01:00,276.2056607648495,1.8229573610480065,0.0,9.490149,1.8229573610480065,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,1.8229573610480065,1,0,0,18.229573610480067,0.0,841.1475554401495,0.0,0.0
2024-01-01 13:00:00+01:00,222.38355722664093,1.4677314776958301,0.0,10.043429,1.4677314776958301,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,1.4677314776958301,1,0,0,14.677314776958301,0.0,855.8248702171078,0.0,0.0
2024-01-01 13:30:00+01:00,243.7328379520624,1.6086367304836118,0.0,10.043429,1.6086367304836118,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,1.6086367304836118,1,0,0,16.086367304836116,0.0,871.9112375219439,0.0,0.0
2024-01-01 14:00:00+01:00,189.4336853378153,1.2502623232295809,0.0,10.150549,1.2502623232295809,0.0,0.0,0.0,3.1744332205096333,0.0,0.0,0.0,1.1102202782372312,1.2502623232295809,1,0,0,12.502623232295809,0.0,884.4138607542397,0.0,0.0
2024-01-01 14:30:00+01:00,105.57031577273762,0.6967640841000683,0.0,10.150549,0.6967640841000683,0.0,0.0,0.3032359158999317,3.0148353700359856,0.0,0.0,0.0,1.1102202782372312,1.0,1,0,0,10.0,0.0,894.4138607542397,0.0,0.0
2024-01-01 15:00:00+01:00,37.0464207703899,0.24450637708457335,0.0,10.169789,0.24450637708457335,0.0,0.0,0.7554936229154267,2.6172071474489185,0.0,0.0,0.0,1.1102202782372312,1.0,1,0,0,10.0,0.0,904.4138607542397,0.0,0.0
2024-01-01 15:30:00+01:00,34.36028990988782,0.2267779134052596,0.0,10.169789,0.2267779134052596,0.0,0.0,0.7732220865947403,2.2102481545043187,0.0,0.0,0.0,1.1102202782372312,1.0,1,0,0,10.0,0.0,914.4138607542397,0.0,0.0
2024-01-01 16:00:00+01:00,13.118676269931806,0.08658326338154991,0.0,10.239989,0.08658326338154991,0.0,0.0,1.115740598556139,1.6230162605274034,0.0,0.0,0.0,1.1102202782372312,1.202323861937689,1,0,0,12.02323861937689,0.0,926.4370993736167,0.0,0.0
2024-01-01 16:30:00+01:00,28.574691959942783,0.18859296693562236,0.0,10.239989,0.18859296693562236,0.0,0.0,2.5137308950020665,0.3,0.0,0.0,0.0,1.1102202782372312,2.702323861937689,1,0,0,27.02323861937689,0.0,953.4603379929936,0.0,0.0
2024-01-01 17:00:00+01:00,182.1702821117711,1.2023238619376893,0.0,11.070949,1.2023238619376893,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1102202782372312,1.2023238619376893,1,0,0,12.023238619376892,0.0,965.4835766123705,0.0,0.0
2024-01-01 17:30:00+01:00,311.0021652927339,2.0526142909320435,0.0,11.070949,2.0526142909320435,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1102202782372312,2.0526142909320435,1,0,0,20.526142909320434,0.0,986.009719521691,0.0,0.0
2024-01-01 18:00:00+01:00,486.85905195188855,3.2132697428824644,0.0,12.915389,3.2132697428824644,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1102202782372312,3.2132697428824644,1,0,0,32.13269742882464,0.0,1018.1424169505156,0.0,0.0
2024-01-01 18:30:00+01:00,541.5955977678109,3.574530945267552,0.0,12.915389,3.574530945267552,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1102202782372312,3.574530945267552,1,0,0,35.74530945267552,0.0,1053.8877264031912,0.0,0.0
2024-01-01 19:00:00+01:00,734.0854199127665,4.844963771424259,0.0,12.726109,4.844963771424259,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1102202782372312,4.844963771424259,1,0,0,48.449637714242584,0.0,1102.3373641174337,0.0,0.0
2024-01-01 19:30:00+01:00,869.2873398913716,5.737296443283053,0.0,12.726109,5.737296443283053,0.0,0.0,0.0,0.3,0.7372964432830527,0.0,0.0,1.4714955354459271,5.0,1,0,0,50.0,0.0,1152.3373641174337,0.0,0.0
2024-01-01 20:00:00+01:00,1089.9281878280285,7.193526039664988,0.0,12.411509,7.193526039664988,0.0,0.0,0.0,0.3,2.193526039664988,0.0,0.0,2.5463232948817716,5.0,1,0,0,50.0,0.0,1202.3373641174337,0.0,0.0
2024-01-01 20:30:00+01:00,1384.6251332260724,9.138525879292079,0.0,12.411509,9.138525879292079,0.0,0.0,0.0,0.3,4.138525879292079,0.0,0.0,4.57420097573489,5.0,1,0,0,50.0,0.0,1252.3373641174337,0.0,0.0
2024-01-01 21:00:00+01:00,1551.7344331655286,10.241447258892489,0.0,11.454709,10.241447258892489,0.0,0.24144725889248875,0.0,0.4146874479739322,5.0,0.0,0.0,7.02420097573489,5.0,1,0,0,50.0,0.0,1302.3373641174337,0.0,0.0
2024-01-01 21:30:00+01:00,1448.551511954986,9.560439978902908,0.0,11.454709,9.560439978902908,0.0,0.0,0.2179061511504711,0.3,4.778346130053379,0.0,0.0,9.365590579461045,5.0,1,0,0,50.0,0.0,1352.3373641174337,0.0,0.0
2024-01-01 22:00:00+01:00,1708.342899170646,11.275063134526263,0.0,10.452669,11.275063134526263,0.0,1.2750631345262626,0.0,0.905654988899975,5.0,0.0,0.0,11.815590579461045,5.0,1,0,0,50.0,0.0,1402.3373641174337,0.0,0.0
2024-01-01 22:30:00+01:00,1497.120806694442,9.880997324183317,0.0,10.452669,8.849255521090047,1.0317418030932703,0.0,1.1507444789099524,0.3,5.0,0.0,0.0,14.265590579461044,5.0,1,0,0,50.0,0.0,1452.3373641174337,0.0,0.0
2024-01-01 23:00:00+01:00,1845.9116231612963,12.183016712864555,0.0,10.184869,12.183016712864555,0.0,2.1830167128645552,0.0,1.3369329386106636,5.0,0.0,0.0,16.715590579461043,5.0,1,0,0,50.0,0.0,1502.3373641174337,0.0,0.0
2024-01-01 23:30:00+01:00,1553.046682099006,10.250108101853439,0.0,10.184869,10.250108101853439,0.0,0.25010810185343857,0.0,1.455734286991047,5.0,0.0,0.0,19.165590579461043,5.0,1,0,0,50.0,0.0,1552.3373641174337,0.0,0.0
2024-01-02 00:00:00+01:00,1667.9749522800691,11.008634685048456,0.0,9.545269,11.008634685048456,0.0,1.008634685048456,0.0,1.9348357623890635,5.0,0.0,0.0,21.615590579461042,5.0,1,0,0,50.0,0.0,1602.3373641174337,0.0,0.0
2024-01-02 00:30:00+01:00,1493.2572707389882,9.855497986877321,0.0,9.545269,9.855497986877321,0.0,0.0,0.14450201312267907,1.8587820712718641,5.0,0.0,0.0,24.06559057946104,5.0,1,0,0,50.0,0.0,1652.3373641174337,0.0,0.0
2024-01-02 01:00:00+01:00,1395.8014342651695,9.21228946615012,0.0,8.085109,8.589986730608677,0.6223027355414423,0.0,1.4100132693913228,1.1166698242237996,5.0,0.0,0.0,26.51559057946104,5.0,1,0,0,50.0,0.0,1702.3373641174337,0.0,0.0
